Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
160.,Blue Dart Expres,5700.35,49.18,13526.93,0.44,81.01,-8.86,1511.69,9.31,19.22
161.,Tega Inds.,1277.30,45.28,8498.58,0.16,54.25,52.30,409.27,20.30,19.20
162.,Rainbow Child.,1260.75,53.78,12803.13,0.24,68.94,10.56,398.08,18.49,19.08
163.,Thomas Cook (I),128.58,24.77,6054.75,0.31,47.29,-39.65,2061.01,8.87,19.07
164.,Symphony,1156.20,34.97,7972.81,1.12,-10.00,-12.20,242.00,-2.02,18.84
165.,Himadri Special,401.60,38.55,19826.24,0.12,141.15,29.76,1140.66,8.38,18.81
166.,Astra Microwave,623.10,44.01,5916.02,0.32,47.43,9.34,258.54,11.91,18.77
167.,Amara Raja Ener.,961.60,18.57,17599.72,1.03,311.83,-7.21,3164.02,9.80,18.74
168.,Ramkrishna Forg.,686.10,32.65,12428.15,0.29,99.61,17.81,1073.78,7.85,18.71
169.,Finolex Cables,797.55,22.64,12197.68,1.00,123.94,-2.98,1182.11,-3.24,18.68
170.,Technocraf.Inds.,2441.00,22.33,5604.95,0.00,41.43,-30.91,644.33,25.68,18.68
171.,Bata India,1236.45,44.68,15891.79,0.97,58.70,13.83,918.79,1.70,18.66
172.,Emcure Pharma,927.70,28.92,17573.59,0.00,156.09,31.42,1962.63,17.69,18.62
173.,Vinati Organics,1553.25,41.06,16101.86,0.45,95.55,24.06,521.67,16.45,18.54
174.,Sundram Fasten.,920.05,35.26,19332.86,0.74,130.73,1.32,1441.12,5.40,18.54
175.,GE Shipping Co,897.10,5.39,12807.64,3.21,593.66,-33.74,1236.87,-0.66,18.51
176.,J Kumar Infra,669.70,13.48,5067.32,0.60,99.73,20.68,1486.88,22.00,18.44
177.,Welspun Enterp,453.20,19.19,6272.91,0.66,77.05,-12.04,866.87,22.66,18.40
178.,FDC,390.90,23.19,6364.25,1.28,37.04,-53.21,464.11,1.30,18.37
179.,Ircon Intl.,140.45,17.32,13209.54,2.21,86.10,-64.81,2612.86,-10.81,18.15
180.,LMW,15035.55,133.01,16062.48,0.50,19.30,-80.46,766.43,-36.87,18.08
181.,Century Plyboard,705.95,72.21,15684.30,0.14,58.83,-6.72,1140.47,21.66,18.01
182.,Mastek,2250.00,18.47,6948.10,0.84,94.71,22.09,869.53,10.87,18.01
183.,eMudhra,827.60,83.83,6853.50,0.15,22.40,4.80,138.85,42.59,17.66
184.,Epigral,1813.75,22.57,7824.76,0.28,103.54,109.98,645.24,36.84,17.49
185.,Varroc Engineer,412.40,37.00,6300.91,0.00,-45.19,-93.38,2075.26,10.12,17.48
