Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
213.,Shyam Metalics,825.35,25.39,23038.15,0.55,197.31,56.84,3752.51,13.19,10.79
214.,Chola Financial,1594.00,14.44,29931.73,0.03,1092.90,4.08,8489.09,24.94,10.72
215.,Tata Consumer,946.10,71.36,93616.04,0.82,281.92,-16.22,4443.56,16.82,10.65
216.,NTPC,331.90,14.64,321832.35,2.34,5169.69,-1.80,45052.82,5.21,10.47
217.,Navin Fluo.Intl.,4126.90,77.53,20467.67,0.29,83.60,131.19,606.20,21.21,10.43
218.,Cholaman.Inv.&Fn,1444.70,29.86,121482.63,0.14,1088.21,24.79,6732.98,34.46,10.41
219.,Adani Wilmar,247.07,26.43,32111.16,0.00,409.35,65.51,16490.55,32.56,10.41
220.,Fortis Health.,605.45,58.14,45708.94,0.17,254.30,76.38,1928.26,14.80,10.34
221.,Amber Enterp.,6365.50,96.91,21530.35,0.00,37.05,7572.92,2133.33,64.77,10.18
222.,Exide Inds.,333.00,35.70,28305.00,0.60,158.44,-21.69,4016.72,0.93,10.15
223.,REC Ltd,406.65,6.84,107080.05,3.93,4076.35,23.21,14271.92,18.42,10.05
224.,Aditya Birla Cap,162.19,11.47,42280.08,0.00,724.38,-3.77,9381.35,6.61,9.95
225.,Adani Enterp.,2221.10,67.19,256355.08,0.06,228.64,-96.89,22848.42,-8.79,9.87
226.,Power Fin.Corpn.,388.35,5.75,128159.45,3.54,7759.56,23.30,26798.04,13.69,9.85
227.,Max Financial,1052.55,144.24,36325.06,0.00,69.81,-62.28,8923.21,-27.78,9.77
228.,Gujarat Fluoroch,3840.05,92.51,42182.95,0.08,126.00,57.50,1148.00,15.73,9.76
229.,Adani Green,873.65,95.07,138389.00,0.00,474.00,51.53,2365.00,2.34,9.65
230.,Reliance Industr,1247.90,24.41,1688704.35,0.40,21930.00,7.38,239986.00,6.62,9.61
231.,Bajaj Housing,115.25,49.03,95981.89,0.00,548.02,25.41,2448.86,25.83,9.42
232.,Grasim Inds,2370.20,39.64,161277.51,0.42,1844.29,-40.64,34792.85,8.85,9.30
233.,Indian Renewable,139.85,24.50,37588.39,0.00,425.38,26.78,1698.45,35.57,9.30
234.,PNB Housing,803.45,11.44,20881.62,0.00,471.43,36.04,1922.76,9.99,9.27
235.,H U D C O,180.76,13.49,36186.34,2.30,735.03,41.56,2760.23,37.14,9.23
236.,Sundaram Finance,4627.40,31.52,51412.20,0.65,455.47,6.56,2190.31,20.26,9.21
237.,Adani Energy Sol,783.20,54.67,94084.46,0.00,625.30,72.91,5830.26,27.78,9.00
238.,IRB Infra.Devl.,42.80,34.64,25846.92,0.70,6026.11,69.35,2025.44,2.89,8.96
239.,LIC Housing Fin.,515.60,5.51,28361.25,1.75,1434.89,22.75,7069.99,3.91,8.79
240.,ICICI Pru Life,536.60,79.63,77553.95,0.11,324.91,43.18,4536.44,-82.84,8.75
241.,M & M Fin. Serv.,271.35,13.55,33527.67,2.32,917.64,47.39,4796.80,16.99,8.74
242.,JSW Energy,514.10,47.85,89852.78,0.39,157.45,-31.94,2438.88,-4.09,8.59
243.,Voltas,1402.55,65.51,46408.24,0.39,130.76,573.77,3105.11,18.26,8.51
244.,L&T Finance Ltd,138.64,13.51,34588.85,1.80,625.65,-2.15,4097.58,15.95,8.22
245.,S A I L,105.89,14.97,43738.13,1.89,141.89,-64.61,24489.91,4.89,8.10
246.,IndusInd Bank,672.35,7.25,52379.73,2.45,1401.28,-39.02,12800.77,10.62,7.93
247.,Kotak Mah. Bank,1985.10,20.07,394682.15,0.10,4701.02,10.23,16633.14,14.75,7.86
248.,Tata Chemicals,796.10,41.63,20281.44,1.88,-21.00,-79.75,3590.00,-3.75,7.81
249.,AU Small Finance,502.85,18.39,37433.31,0.20,528.45,40.83,4113.48,50.36,7.71
250.,HDFC Bank,1706.60,18.77,1305782.10,1.14,18340.11,2.31,85040.17,9.01,7.67
251.,NHPC Ltd,77.57,28.76,77919.33,2.45,330.13,-52.49,2286.76,11.25,7.67
252.,ICICI Bank,1250.05,17.95,883060.90,0.80,13846.89,16.56,47037.12,15.10,7.60
253.,NTPC Green,96.25,235.28,81103.42,0.00,65.61,17.98,505.08,13.21,7.60
254.,Altius Telecom,148.00,49.33,45101.52,,219.70,-36.43,6013.60,76.36,7.27
255.,Multi Comm. Exc.,4808.45,47.85,24522.31,0.16,160.04,3091.40,301.38,57.35,7.15
256.,Axis Bank,1010.20,11.10,312802.44,0.10,6778.91,3.86,32162.20,11.42,7.06
257.,Bandhan Bank,139.84,9.08,22527.82,1.07,426.49,-41.79,5478.73,17.43,7.06
258.,Tata Steel,150.88,66.52,188351.46,2.39,295.49,-40.52,53648.30,-3.01,7.02
259.,Federal Bank,176.60,10.74,43367.06,0.68,951.31,-8.81,7264.87,19.39,6.93
260.,IDFC First Bank,53.48,20.32,39155.77,0.00,340.17,-53.53,9342.99,18.57,6.93
261.,FSN E-Commerce,164.56,892.29,47050.19,0.00,26.41,61.33,2267.21,26.74,6.87
262.,Dalmia BharatLtd,1607.10,46.72,30143.60,0.56,66.00,-76.81,3181.00,-11.74,6.71
263.,Canara Bank,82.90,4.58,75195.70,3.88,4255.68,11.19,30750.73,7.93,6.63
264.,Go Digit General,294.05,74.97,27138.95,0.00,118.52,176.46,2436.38,6.60,6.62
265.,HDFC Life Insur.,622.40,76.70,133996.08,0.32,421.31,14.63,17300.27,-35.75,6.61
266.,Laurus Labs,574.05,155.03,30955.79,0.14,92.94,298.88,1415.05,18.42,6.60
267.,Union Bank (I),113.70,5.31,86794.10,3.17,4623.03,27.52,27134.77,6.32,6.55
268.,NLC India,226.10,13.91,31351.85,1.33,696.03,166.79,4411.41,39.41,6.54
269.,Mindspace Busine,360.62,41.34,21968.38,,144.96,-0.74,660.94,8.69,6.52
270.,GMR Airports,74.33,,78484.87,0.00,202.10,45.62,2653.24,19.16,6.41
271.,Bank of Baroda,205.52,5.20,106281.84,3.70,5249.74,8.88,32569.84,8.42,6.33
272.,IDBI Bank,72.10,10.76,77524.82,2.08,1953.62,29.14,7819.25,19.40,6.23
273.,St Bk of India,727.85,8.19,649578.47,1.88,19483.78,17.27,124653.66,10.44,6.16
274.,Biocon,323.05,47.11,38785.38,0.15,81.10,-96.33,3821.40,-3.35,5.96
275.,Indian Bank,490.40,6.25,66055.11,2.45,2910.18,31.92,15770.16,11.04,5.92
276.,Yes Bank,16.19,23.40,50761.70,0.00,619.38,155.32,7833.00,12.08,5.81
277.,DLF,658.10,43.40,162900.26,0.76,1058.73,23.19,1528.71,0.49,5.74
278.,Godrej Propert.,1969.10,40.02,59306.31,0.00,158.20,154.05,968.88,193.21,5.74
279.,I R F C,117.69,23.53,153803.25,1.27,1630.66,1.98,6763.43,0.40,5.73
280.,Bank of India,94.12,5.03,42849.71,2.97,2638.17,36.58,18317.30,19.57,5.69
281.,Pun. & Sind Bank,39.11,31.47,26507.92,0.51,281.96,146.66,2931.14,17.67,5.59
282.,Godrej Industrie,1149.05,50.06,38694.50,0.00,312.40,76.86,4824.83,34.39,5.59
283.,Piramal Pharma,201.84,509.79,26758.90,0.05,3.68,-59.16,2204.22,12.54,5.49
284.,Punjab Natl.Bank,87.20,5.95,100218.47,1.72,4811.02,97.35,31894.80,14.52,5.46
285.,I O B,41.54,25.40,78520.62,0.00,873.66,20.91,7111.72,15.16,5.41
286.,Embassy Off.REIT,366.86,16.17,34774.43,4.71,158.20,-31.19,1032.62,6.95,5.41
287.,Bank of Maha,45.43,6.63,34942.73,3.08,1411.60,35.94,6324.68,22.30,5.38
288.,UCO Bank,35.20,18.15,42084.97,0.80,638.83,27.05,6219.96,12.03,5.34
289.,Central Bank,41.47,9.87,35999.86,0.00,966.05,31.17,8541.83,8.93,5.29
290.,SJVN,85.42,36.64,33568.31,2.11,148.75,-5.62,670.99,23.50,4.99
291.,Aster DM Health.,434.10,74.90,21683.86,0.92,64.39,25.04,1049.81,9.97,4.48
292.,Inox Wind,162.41,68.57,21174.92,0.00,111.64,5083.08,911.27,81.01,4.26
293.,Info Edg.(India),6382.55,129.25,82707.71,0.34,288.42,134.33,722.40,15.19,3.65
294.,B H E L,193.33,129.69,67318.73,0.13,134.70,123.31,7277.09,32.22,3.37
295.,UPL,601.45,,45145.30,0.17,853.00,174.85,10907.00,10.32,3.29
296.,PB Fintech.,1331.90,294.65,61168.48,0.00,71.54,92.16,1291.62,48.31,1.75
297.,Tata Inv.Corpn.,6107.50,92.29,30901.08,0.46,19.61,-63.17,3.71,-92.66,1.67
298.,Jio Financial,222.60,88.00,141424.11,0.00,294.78,0.33,438.35,5.98,1.55
299.,Zomato Ltd,201.43,293.19,194387.01,0.00,59.00,-57.25,5405.00,64.39,1.14
300.,JSW Holdings,19381.80,122.91,21513.80,0.00,19.40,6.48,29.22,7.07,0.72
301.,New India Assura,144.14,24.03,23754.27,1.43,348.51,-51.70,10702.92,-5.83,0.56
302.,Aditya Bir. Fas.,240.05,,29291.43,0.00,-42.36,45.60,4304.69,3.31,0.25
303.,Wockhardt,1292.05,,20993.95,0.00,20.00,116.87,721.00,2.85,-0.83
304.,Vodafone Idea,6.95,,49618.16,0.00,-6609.30,14.62,11117.30,4.16,-3.61
305.,ITI,253.36,,24345.03,0.00,-67.12,34.00,1034.54,299.68,-8.43
306.,One 97,682.85,,43543.12,0.00,-208.50,5.23,1827.80,-35.88,-8.50
307.,Swiggy,353.20,,80623.19,0.00,-799.08,-40.86,3993.07,30.98,-24.39
308.,Ola Electric,50.51,,22279.10,0.00,-564.00,-51.61,1045.00,-19.37,-32.13
309.,ITC Hotels,166.73,,34699.36,0.00,0.74,,0.00,,
