Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
919.,Crown Lifters,152.21,20.31,170.83,0.26,2.64,88.57,8.70,20.00,18.38
920.,7Seas Enter.,72.04,118.24,160.81,0.00,0.48,77.78,4.30,42.86,18.36
921.,Dr Agarwal's Eye,4413.25,40.32,2074.23,0.11,10.40,10.17,95.11,25.23,18.36
922.,Bodhi Tree,8.79,19.76,109.84,0.57,1.81,410.71,16.87,30.78,18.36
923.,Tirupati Forge,36.30,44.43,376.36,0.00,1.31,-36.10,26.14,-19.22,18.32
924.,Anya Polytech &,22.90,28.68,274.80,0.00,8.26,,76.27,,18.32
925.,Anuroop Packagin,17.50,5.62,19.34,0.00,0.33,-74.81,3.50,-53.52,18.31
926.,Indo Count Inds.,251.65,15.25,4984.04,0.87,75.47,29.99,1151.55,61.41,18.30
927.,Kirl. Electric,123.77,268.63,822.01,0.00,0.57,-62.25,119.75,-5.01,18.29
928.,Carraro India,315.25,29.73,1792.24,0.00,14.14,-26.70,444.78,3.30,18.29
929.,Pokarna,1149.80,24.61,3564.84,0.05,50.60,118.99,223.61,35.85,18.27
930.,Rex Pipes&Cables,63.20,15.55,59.72,0.00,1.61,,78.44,36.37,18.25
931.,Abha Power,29.05,14.29,54.00,0.00,,,,,18.24
932.,Thyrocare Tech.,700.25,39.87,3710.87,2.57,19.10,28.27,152.55,24.14,18.23
933.,Maximus Interna.,11.32,15.76,153.99,0.00,2.80,8.17,36.91,42.79,18.21
934.,Jayant Infratech,70.21,13.16,71.31,0.00,2.84,,55.14,74.88,18.21
935.,Unilex Colour &C,56.00,12.36,76.26,0.00,4.19,,78.64,,18.20
936.,RACL Geartech,691.20,27.26,745.22,0.22,7.67,-38.20,109.49,-3.47,18.19
937.,LKP Finance,368.35,15.39,462.97,0.81,-10.84,-170.34,-13.04,-165.53,18.17
938.,Windlas Biotech,893.00,30.24,1866.40,0.62,15.58,3.18,195.02,20.23,18.17
939.,Kundan Edifice,106.00,33.09,108.88,0.00,3.60,,47.89,15.68,18.17
940.,Uniparts India,313.20,15.07,1413.59,4.55,19.14,-26.24,208.31,-19.64,18.14
941.,Rossari Biotech,615.70,25.05,3408.75,0.08,31.70,-7.82,512.73,10.56,18.10
942.,National Plastic,240.50,16.09,146.22,0.42,2.28,14.57,79.05,21.52,18.05
943.,Lactose (India),105.55,21.49,148.71,0.00,0.22,-91.63,28.72,-11.90,18.02
944.,Ganesh Benzopl.,116.92,13.41,841.70,0.00,16.15,2.28,55.02,-6.79,18.00
945.,Maitreya,232.45,50.32,157.51,0.00,1.67,-27.39,24.36,-1.73,18.00
946.,SMC Global Sec.,108.32,5.45,1134.11,2.22,43.86,-15.49,455.47,6.45,17.99
947.,Prem. Explosives,321.00,54.80,1725.73,0.16,9.19,450.30,165.92,272.35,17.96
948.,Cantabil Retail,262.47,31.58,2195.25,0.34,34.39,42.70,222.92,26.82,17.96
949.,Mangal,40.00,15.64,54.42,0.00,0.81,,4.08,,17.96
950.,Divine Power,124.95,42.17,268.23,0.00,4.50,,144.02,40.33,17.94
951.,Walchand People,116.05,13.87,33.70,0.86,0.22,-80.87,8.23,25.08,17.93
952.,Ashika Credit,625.75,,1576.20,0.00,-20.29,-308.32,1.31,-90.42,17.92
953.,Solex Energy,700.25,35.87,756.44,0.08,13.08,,273.09,193.52,17.92
954.,P.E. Analytics,229.95,23.49,241.04,0.00,5.35,,11.64,11.60,17.91
955.,Future Market,17.76,7.05,102.20,0.00,6.07,43.84,26.07,11.32,17.90
956.,Elnet Technolog,347.85,8.25,139.14,0.49,4.32,-9.24,5.88,-13.27,17.88
957.,Hindcon Chemical,32.10,32.67,164.32,0.62,1.37,36.00,15.27,13.62,17.87
958.,Subam Papers,99.05,6.80,230.24,0.00,17.53,,269.88,,17.86
959.,Uttam Sug.Mills,186.52,10.87,711.35,1.34,32.51,-25.21,403.88,-21.99,17.85
960.,Paramatrix Tech.,78.00,21.68,89.77,0.00,2.35,,13.87,,17.85
961.,Wardwizard Inno.,26.91,153.17,701.53,0.56,3.84,-32.63,86.27,-18.84,17.84
962.,Darshan Orna,2.68,7.93,13.41,0.00,0.11,-67.65,2.40,-78.12,17.84
963.,T & I Global,150.90,26.10,76.47,0.00,0.53,-82.85,19.77,-49.57,17.82
964.,Balmer Law. Inv.,65.94,8.57,1463.69,5.76,63.61,-3.02,633.15,7.85,17.81
965.,S P I C,80.07,10.18,1630.55,1.87,38.50,15.69,818.04,61.54,17.80
