Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
260.,Manappuram Fin.,187.72,7.03,15889.27,1.89,572.08,2.20,2633.10,21.86,13.75
261.,Godrej Agrovet,754.75,39.48,14510.93,1.32,95.79,-7.83,2448.75,-4.75,13.71
262.,Kama Holdings,2491.70,10.41,7996.01,1.42,203.92,-31.26,3451.86,7.66,13.56
263.,Balrampur Chini,521.75,24.38,10534.26,0.57,67.18,-59.59,1297.95,-15.69,13.46
264.,Manorama Indust.,1065.55,105.51,6350.58,0.04,26.71,210.22,195.42,65.99,13.38
265.,HFCL,114.40,43.94,16504.18,0.17,73.33,5.63,1093.61,-1.61,13.26
266.,Arvind Ltd,409.25,36.99,10712.85,0.92,62.77,-24.53,2188.31,13.87,13.08
267.,Team Lease Serv.,3051.05,51.60,5116.28,0.00,24.85,-9.86,2796.83,23.07,13.06
268.,Powergrid Infra.,85.90,10.80,7816.89,,79.74,-72.43,319.96,0.56,12.94
269.,IFB Industries,1904.55,70.35,7717.24,0.00,33.30,16.07,1176.56,10.16,12.75
270.,Electronics Mart,164.61,34.53,6333.35,0.00,24.55,-34.32,1386.10,5.55,12.74
271.,Bajaj Electrical,777.70,83.30,8969.57,0.39,12.90,-59.28,1118.33,0.50,12.73
272.,CCL Products,726.60,35.42,9702.14,0.62,73.95,21.51,738.20,21.50,12.39
273.,ISGEC Heavy,1451.25,36.64,10670.97,0.28,95.70,54.83,1643.90,11.59,12.31
274.,INDIA SHELTE FIN,698.55,24.00,7514.48,0.00,89.87,49.68,282.28,38.56,12.23
275.,Greenlam Industr,589.00,62.41,7514.10,0.28,34.45,-11.60,680.81,12.78,12.08
276.,Gallantt Ispat L,360.10,27.31,8688.53,0.28,48.89,3.45,942.57,-0.77,11.96
277.,Shoppers Stop,607.35,334.74,6681.50,0.00,-20.59,-370.45,1114.87,7.29,11.84
278.,IIFL Finance,421.00,11.78,17870.58,0.95,-93.07,-22.94,2571.90,3.78,11.81
279.,Privi Speci.,1840.55,52.94,7189.69,0.11,44.84,47.44,532.79,17.01,11.79
280.,Shrem InvIT,114.25,6.10,6978.89,,275.88,7.55,488.74,10.32,11.76
281.,Quess Corp,689.35,28.18,10249.76,1.45,93.63,28.04,5179.36,9.08,11.74
282.,Edelweiss.Fin.,124.92,25.48,11805.12,1.20,137.02,45.13,2831.74,31.36,11.50
283.,Westlife Food,800.55,577.67,12483.47,0.43,0.36,-98.39,618.01,0.53,11.47
284.,GMR Urban,129.79,,9277.86,0.00,249.56,128.48,1384.09,120.58,11.39
285.,MTAR Technologie,1771.15,139.87,5447.98,0.00,18.78,-9.84,190.18,14.07,11.38
286.,Sudarshan Chem.,1154.55,58.37,7992.63,0.40,29.90,95.30,696.09,15.88,11.36
287.,Lemon Tree Hotel,159.02,82.98,12598.30,0.00,35.04,30.86,284.37,25.16,11.36
288.,Aadhar Hsg. Fin.,428.20,22.12,18441.70,0.00,227.51,15.31,764.27,21.59,11.36
289.,Genus Power,406.15,84.62,12341.12,0.15,83.08,68.90,486.88,88.01,11.34
290.,ERIS Lifescience,1297.35,50.87,17660.73,0.00,96.35,-25.12,741.17,46.68,11.27
291.,Home First Finan,1068.05,27.98,9578.25,0.32,92.23,24.12,372.91,36.43,11.25
292.,Rallis India,305.45,39.87,5940.05,0.82,98.00,20.62,928.00,11.54,11.20
293.,Ujjivan Small,34.45,5.73,6664.50,4.35,233.03,-28.90,1612.79,15.93,11.09
294.,Kesoram Inds.,226.16,,7026.97,0.00,-69.92,11.10,58.71,-1.99,11.00
295.,Lux Industries,2030.30,38.35,6105.45,0.10,51.60,42.56,677.45,5.97,10.98
296.,SBFC Finance,89.75,32.38,9717.67,0.00,83.98,59.63,313.89,27.44,10.93
297.,V2 Retail,1728.85,144.76,5979.98,0.00,-2.51,55.81,380.01,64.28,10.85
298.,India Infr Trust,91.00,7.42,6042.40,,133.07,,1378.37,15.81,10.84
299.,Gokaldas Exports,1139.95,62.65,8146.82,0.00,28.16,18.77,929.00,85.71,10.76
300.,Deepak Fertiliz.,1203.20,22.40,15188.94,0.71,214.07,249.39,2746.72,13.31,10.72
301.,Texmaco Rail,198.96,38.25,7947.80,0.25,74.11,196.18,1345.88,67.18,10.59
302.,Sai Life,779.90,195.91,16221.10,0.00,28.01,,675.29,5.13,10.57
