Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
3386.,Sastasundar Ven.,320.80,14.45,1020.48,0.00,-154.78,402.01,273.53,-23.70,-2.94
3387.,GTN Industries,34.68,,60.83,0.00,-1.37,-117.46,43.57,-9.98,-2.98
3388.,VIP Clothing,46.79,,403.08,0.00,0.81,132.66,59.23,13.14,-3.07
3389.,Burnpur Cement,6.89,,59.34,0.00,-16.65,13.10,0.00,-100.00,-3.08
3390.,Coromandel Engg.,54.44,,180.92,0.00,0.11,107.01,9.94,-64.56,-3.09
3391.,Venlon Enterpris,7.84,,40.96,0.00,-0.42,-50.00,3.11,103.27,-3.09
3392.,Decipher Labs,15.65,19.05,15.81,0.00,-1.33,31.44,5.87,-21.63,-3.09
3393.,Vikas Wsp,1.73,,35.37,0.00,-8.77,-0.57,0.00,,-3.13
3394.,Meghmani Organi.,81.73,,2078.51,0.00,-9.27,39.57,543.89,43.61,-3.13
3395.,Tulsyan NEC,73.00,,121.67,0.00,-4.35,-512.68,198.82,-19.51,-3.17
3396.,GCM Securit.,1.08,,20.52,0.00,-0.06,45.45,0.43,,-3.23
3397.,Sical Logistics,149.90,,978.08,0.00,-5.86,-2.89,48.92,-20.58,-3.26
3398.,Dharani Finance,11.56,18.61,5.77,0.00,0.11,257.14,0.23,-11.54,-3.28
3399.,Source Industrie,3.14,,3.58,0.00,-0.02,80.00,0.01,-50.00,-3.28
3400.,Fortis Malar,61.19,,114.68,69.46,0.09,105.03,0.00,-100.00,-3.29
3401.,Kamanwala Housin,17.99,,25.35,0.00,-0.21,-162.50,0.00,,-3.29
3402.,Quint Digital,83.23,,392.41,0.00,-0.79,76.13,8.77,-54.54,-3.30
3403.,7NR Retail Ltd,5.02,,14.06,0.00,-0.57,-18.75,2.00,-14.89,-3.31
3404.,Prag Bosimi Syn.,2.95,,21.94,0.00,-2.63,0.38,0.32,433.33,-3.34
3405.,Neogem India,3.75,,3.06,0.00,-0.09,18.18,0.00,,-3.35
3406.,True Green,116.25,,315.04,0.00,0.38,166.67,15.10,,-3.35
3407.,Golkonda Alumin.,14.14,18.17,7.45,0.00,0.04,-20.00,0.05,,-3.38
3408.,STL Global,18.14,,49.80,0.00,-0.22,31.25,22.85,7.23,-3.39
3409.,Advance Syntex,6.59,,7.31,0.00,-0.07,77.78,0.00,-100.00,-3.39
3410.,MPDL Ltd,73.57,,54.52,0.00,-0.99,-104.09,2.16,-32.92,-3.39
3411.,Marshall Machin.,22.50,,53.78,0.00,-1.46,-41.75,9.14,-14.26,-3.39
3412.,Elango Industrie,11.78,,4.50,0.00,-0.03,25.00,0.00,,-3.45
3413.,Ironwood Educa,40.41,,31.96,0.00,0.96,288.24,0.90,7.14,-3.47
3414.,Shiva Mills,100.70,,87.02,0.00,-0.72,20.00,48.07,14.13,-3.48
3415.,Blue Chip India,9.52,,52.65,0.00,-0.01,50.00,0.00,,-3.52
3416.,Rajasthan Cylind,46.20,,15.53,0.00,-0.36,-614.29,0.00,,-3.52
3417.,Aravali Sec,6.21,,9.41,0.00,-0.02,77.78,0.00,,-3.53
3418.,Royal India Corp,26.26,,287.47,0.00,0.21,113.38,79.89,1256.37,-3.55
3419.,Panacea Biotec,443.20,,2714.63,0.00,4.71,118.11,147.35,3.03,-3.57
3420.,Supra Trends,54.75,,74.12,0.00,-0.07,-600.00,0.00,,-3.59
3421.,Bombay Talkies,7.13,,38.50,0.00,-0.02,66.67,0.03,-25.00,-3.64
3422.,Sri Nacha. Cott.,42.00,,18.06,0.00,-0.51,72.58,16.62,15.82,-3.66
3423.,I Power Solution,15.13,,6.73,0.00,-0.07,-133.33,0.00,,-3.67
3424.,CMI,4.60,,7.37,0.00,-2.90,-134.90,8.78,-13.67,-3.70
3425.,Fruition Venture,47.80,,19.12,0.00,0.10,137.04,1.16,,-3.72
3426.,Ceeta Industries,51.07,97.43,74.05,0.00,0.45,191.84,6.16,89.54,-3.73
3427.,Skyline Millars,19.37,,77.91,0.00,-0.17,23.81,0.00,,-3.76
3428.,Williamson Fin.,17.92,10.62,14.98,0.00,0.11,107.33,0.00,-100.00,-3.77
3429.,ISF,1.64,,15.58,0.00,0.02,0.00,0.45,-22.41,-3.78
3430.,Epuja Spiritech,4.32,,35.21,0.00,-0.24,-2500.00,0.47,62.07,-3.78
3431.,Eastcoast Steel,24.00,,12.96,0.00,-0.80,-570.59,2.15,-6.52,-3.78
3432.,Triliance Poly,62.06,,31.71,0.00,0.05,350.00,0.00,,-3.79
3433.,Indokem,98.95,,275.95,0.00,-0.01,100.00,43.29,7.31,-3.80
3434.,MSR India,6.86,,43.14,0.00,-0.49,68.52,0.00,,-3.84
3435.,AksharChem (I),306.60,,246.29,0.16,1.04,113.68,78.93,7.68,-3.85
3436.,Stanrose Mafat.,82.12,,32.60,0.00,-0.29,44.23,0.72,125.00,-3.85
3437.,Emami Realty Ltd,125.79,,476.04,0.00,-13.27,37.79,6.00,-11.24,-3.86
3438.,Transworld Shipp,441.60,157.68,969.75,0.00,21.28,160.97,124.72,147.80,-3.91
3439.,Aanchal Ispat,5.31,,11.07,0.00,-0.15,95.76,38.74,329.49,-3.93
3440.,LGB Forge,18.24,,434.48,0.00,-0.88,49.43,23.38,-18.76,-3.94
3441.,Poddar Housing,69.44,,50.46,0.00,-16.20,-72.52,-0.02,-101.09,-3.95
3442.,Capricorn System,15.65,,6.25,0.00,-0.42,-2200.00,0.26,18.18,-3.99
3443.,Krishna Vent.,62.01,,66.97,0.00,-0.27,0.00,0.12,-63.64,-4.01
3444.,Nureca,307.50,,307.51,0.00,-0.48,-116.61,31.19,-0.51,-4.02
3445.,Kiran Syntex,8.45,,3.59,0.00,-0.01,66.67,0.00,,-4.04
3446.,Regis Industries,149.05,,256.48,0.00,0.05,105.75,4.06,-27.50,-4.04
3447.,DCM Financial,7.55,,16.71,0.00,-0.07,80.00,0.00,,-4.10
3448.,Munoth Capital,101.81,,93.32,0.00,-0.03,57.14,0.14,133.33,-4.15
3449.,Kimia Bioscien.,46.02,75.08,217.73,0.00,1.61,165.98,28.18,16.45,-4.16
3450.,SVP Global,5.40,,68.31,0.00,-63.60,-16.74,16.19,-77.95,-4.16
3451.,Vanta Bioscience,42.21,,26.64,0.00,-2.07,,1.03,-83.33,-4.16
3452.,NDTV,163.88,,1056.56,0.00,-53.45,-1050.81,111.32,16.50,-4.17
3453.,Kallam Textiles,5.91,,31.21,0.00,-12.94,-62.16,72.38,-35.01,-4.20
3454.,Maris Spinners,40.25,,32.89,0.00,-1.08,58.14,40.36,5.99,-4.26
3455.,Dhenu Buildcon,5.54,,10.14,0.00,-0.23,-2200.00,0.00,,-4.32
3456.,Tarapur Trans,49.86,7.32,97.23,0.00,-0.68,-74.36,0.00,-100.00,-4.37
3457.,Indo Rama Synth.,40.97,,1069.78,0.00,-44.08,-402.62,950.53,-24.53,-4.37
3458.,Radhe Develop.,3.05,,159.74,0.00,1.49,207.19,3.27,,-4.38
